Ano de Formação,Cargo,empresa,Area,Area Tratados 
2006,estrategia e performace,acceture,Análise de Dados,Análise de Dados
2006,vice presidente em banco,citi,Gestão ,Gestão 
2006,area de inovação,natura,Análise de Dados,Análise de Dados
2006,Cientista - founder de empresa de Construção e montagem de aeronaves para fins militares,Dstl,Empreendedorismo,Empreendedorismo
2006,chefe de crescimento individual -RH,MERCADO LIVRE,Recursos humanos,Recursos humanos
2006,Chefe de operação ,lemon energy,Gestão ,Gestão 
2006,Carreira acadêmica,,Pesquisa,Pesquisa
2006,engenheiro ,petrobras,Engenharia,Engenharia
2007,chefe e fundador ,matrix,Empreendedorismo,Empreendedorismo
2007,socio,artica - assesoria financeira,Gestão,Gestão
2007,sócio co-fundador e CEO das empresas,"Sanca Ventures, iPostal e Hi!China. ",Empreendedorismo,Empreendedorismo
2007,gestão de projetos,siemens,Análise de Dados,Análise de Dados
2007,gerentes e finanças,itau,Análise de Dados,Análise de Dados
2008,gerente de relações de investimentos,brz investimentos,Análise de Dados,Análise de Dados
2008,Gerente Sênior de Operações e Planejamento,Labarotarios space time,Análise de Dados,Análise de Dados
2008,gerente de contas,IFF - produtos quimicos,Análise de Dados,Análise de Dados
2008,Gerente de Desenvolvimento de Software de Otimização de Remessa,Mercado Livre,Análise de Dados,Análise de Dados
2008,Pesquisador,"Universidade de Estrasburgo (Estrasburgo, França)",Pesquisa,Pesquisa
2009,Gerente de Operações,Matrix Energia -sustentabilidade ,Gestão ,Gestão 
2009,sócio co-fundador e CEO das empresas,"Sanca Ventures, iPostal e Hi!China",Empreendedorismo,Empreendedorismo
2009,Engenheiro de Propulsão Aeroacústica,Airbus,Engenharia,Engenharia
2009,doutorando,ufsc,Pesquisa,Pesquisa
2009,Desenvolvedor de jogos,Qloud Games,Game analytics,Outros
2010,engenheiro consultor na area de aeroacustica,ALTRAN TECHNOLOGIES  clientes como AIRBUS e SAFRAN.,Análise de Dados,Análise de Dados
2010,Fundador,AxZ technology (empresa de soluções inovadoras por IA),Empreendedorismo,Empreendedorismo
2010,Gestão Regional da Cadeia de Suprimentos LATAM,Bayer Pharmaceuticals,Análise de Dados,Análise de Dados
2010,Gerente Operações,Red Balloon Escola de Inglês,Ensino,Ensino
2010,Líder de empreendimento,Play Studio,Análise de Dados,Análise de Dados
2010,Diretor de Receita - LATAM,IHS Towers,Análise de Dados,Análise de Dados
2010,Desenvolvedora de Software,Activate Games,Análise de Dados,Análise de Dados
2010,Cientista de dados - Consultor,Banco Carrefour,Análise de Dados,Análise de Dados
2010,Desenvolvedor ágil full stackDesenvolvedor ágil full stack,Hermes Fulfilment DE - logística,Análise de Dados,Análise de Dados
2011,Gerente de Fabricação SR,Nestlé,Análise de Dados,Análise de Dados
2011,Gerente de RH e HRBP,ALS -solucoes de negócios,Recursos humanos,Recursos humanos
2011,Engenheiro de petróleo,Petrobras ,Engenharia,Engenharia
2011,Engenheiro de Dados Sênior,iFood,Análise de Dados,Análise de Dados
2011,doutorando ,Missouri University of Science and Technology,Carreira acadêmica,Carreira acadêmica
2011,Professora,usp,Ensino,Ensino
2011,departamento de aquisição ,Nubank,Análise de Dados,Análise de Dados
2011,Machine Learning Engineer,Programmer's - Beyond IT,Programação,Outros
2012,IT Software Engineer,Johnson & Johnson,Análise de Dados,Análise de Dados
2012,Mestrado em Tecnologia Nuclear,usp,Carreira acadêmica,Carreira acadêmica
2012,Engenheiro de IA/ML,symphony.is,Análise de Dados,Análise de Dados
2012,Doutorando,unicamp,Carreira acadêmica,Carreira acadêmica
